,Year,country,crop_measurement,crops_type,crops_action,crop_value,import_export_value
45,2017,Ireland,ha,Apples,Area harvested,695.0,2128.0
46,2017,Ireland,ha,Apples,Area harvested,695.0,2521.0
47,2017,Ireland,ha,Apples,Area harvested,695.0,1024.0
48,2017,Ireland,ha,Apples,Area harvested,695.0,207.0
49,2017,Ireland,ha,Apples,Area harvested,695.0,48.0
50,2017,Ireland,ha,Apples,Area harvested,695.0,3800.0
51,2017,Ireland,ha,Apples,Area harvested,695.0,1176.0
52,2017,Ireland,ha,Apples,Area harvested,695.0,406.0
53,2017,Ireland,ha,Apples,Area harvested,695.0,157.0
54,2017,Ireland,ha,Apples,Area harvested,695.0,74.0
55,2017,Ireland,ha,Apples,Area harvested,695.0,1813.0
56,2017,Ireland,ha,Apples,Area harvested,695.0,5102.0
57,2017,Ireland,ha,Apples,Area harvested,695.0,2382.0
58,2017,Ireland,ha,Apples,Area harvested,695.0,833.0
59,2017,Ireland,ha,Apples,Area harvested,695.0,291.0
60,2017,Ireland,ha,Apples,Area harvested,695.0,25.0
61,2017,Ireland,ha,Apples,Area harvested,695.0,8633.0
62,2017,Ireland,ha,Apples,Area harvested,695.0,240.0
63,2017,Ireland,ha,Apples,Area harvested,695.0,434.0
64,2017,Ireland,ha,Apples,Area harvested,695.0,883.0
65,2017,Ireland,ha,Apples,Area harvested,695.0,2153.0
66,2017,Ireland,ha,Apples,Area harvested,695.0,3709.0
67,2017,Ireland,ha,Apples,Area harvested,695.0,297.0
68,2017,Ireland,ha,Apples,Area harvested,695.0,336.0
69,2017,Ireland,ha,Apples,Area harvested,695.0,866.0
70,2017,Ireland,ha,Apples,Area harvested,695.0,9539.0
71,2017,Ireland,ha,Apples,Area harvested,695.0,11038.0
72,2017,Ireland,ha,Apples,Area harvested,695.0,971.0
73,2017,Ireland,ha,Apples,Area harvested,695.0,1340.0
74,2017,Ireland,ha,Apples,Area harvested,695.0,4412.0
75,2017,Ireland,ha,Apples,Area harvested,695.0,6283.0
76,2017,Ireland,ha,Apples,Area harvested,695.0,13006.0
77,2017,Ireland,ha,Apples,Area harvested,695.0,5784.0
78,2017,Ireland,ha,Apples,Area harvested,695.0,8496.0
79,2017,Ireland,ha,Apples,Area harvested,695.0,6224.0
80,2017,Ireland,ha,Apples,Area harvested,695.0,6359.0
81,2017,Ireland,ha,Apples,Area harvested,695.0,26862.0
82,2017,Ireland,ha,Apples,Area harvested,695.0,9642.0
83,2017,Ireland,ha,Apples,Area harvested,695.0,2982.0
84,2017,Ireland,ha,Apples,Area harvested,695.0,10744.0
85,2017,Ireland,ha,Apples,Area harvested,695.0,2728.0
86,2017,Ireland,ha,Apples,Area harvested,695.0,26095.0
87,2017,Ireland,ha,Apples,Area harvested,695.0,16933.0
88,2017,Ireland,ha,Apples,Area harvested,695.0,13588.0
89,2017,Ireland,ha,Apples,Area harvested,695.0,23128.0
90,2017,Ireland,ha,Apples,Area harvested,695.0,27061.0
91,2017,Ireland,ha,Apples,Area harvested,695.0,1885.0
92,2017,Ireland,ha,Apples,Area harvested,695.0,82595.0
93,2017,Ireland,ha,Apples,Area harvested,695.0,1194.0
94,2017,Ireland,ha,Apples,Area harvested,695.0,305.0
95,2017,Ireland,ha,Apples,Area harvested,695.0,139.0
96,2017,Ireland,ha,Apples,Area harvested,695.0,43.0
97,2017,Ireland,ha,Apples,Area harvested,695.0,1681.0
98,2017,Ireland,ha,Apples,Area harvested,695.0,95.0
99,2017,Ireland,ha,Apples,Area harvested,695.0,58.0
100,2017,Ireland,ha,Apples,Area harvested,695.0,48.0
101,2017,Ireland,ha,Apples,Area harvested,695.0,35.0
102,2017,Ireland,ha,Apples,Area harvested,695.0,236.0
103,2017,Ireland,ha,Apples,Area harvested,695.0,4687.0
104,2017,Ireland,ha,Apples,Area harvested,695.0,1711.0
105,2017,Ireland,ha,Apples,Area harvested,695.0,458.0
106,2017,Ireland,ha,Apples,Area harvested,695.0,96.0
107,2017,Ireland,ha,Apples,Area harvested,695.0,6952.0
108,2017,Ireland,ha,Apples,Area harvested,695.0,11278.0
109,2017,Ireland,ha,Apples,Area harvested,695.0,3124.0
110,2017,Ireland,ha,Apples,Area harvested,695.0,516.0
111,2017,Ireland,ha,Apples,Area harvested,695.0,86.0
112,2017,Ireland,ha,Apples,Area harvested,695.0,15004.0
113,2017,Ireland,ha,Apples,Area harvested,695.0,4846.0
114,2017,Ireland,ha,Apples,Area harvested,695.0,1830.0
115,2017,Ireland,ha,Apples,Area harvested,695.0,665.0
116,2017,Ireland,ha,Apples,Area harvested,695.0,278.0
117,2017,Ireland,ha,Apples,Area harvested,695.0,7619.0
118,2017,Ireland,ha,Apples,Area harvested,695.0,22100.0
119,2017,Ireland,ha,Apples,Area harvested,695.0,7028.0
120,2017,Ireland,ha,Apples,Area harvested,695.0,1826.0
121,2017,Ireland,ha,Apples,Area harvested,695.0,538.0
122,2017,Ireland,ha,Apples,Area harvested,695.0,72.0
123,2017,Ireland,ha,Apples,Area harvested,695.0,31564.0
124,2017,Ireland,hg/ha,Apples,Yield,307468.0,615.0
125,2017,Ireland,hg/ha,Apples,Yield,307468.0,545.0
126,2017,Ireland,hg/ha,Apples,Yield,307468.0,1985.0
127,2017,Ireland,hg/ha,Apples,Yield,307468.0,14778.0
128,2017,Ireland,hg/ha,Apples,Yield,307468.0,17923.0
129,2017,Ireland,hg/ha,Apples,Yield,307468.0,241.0
130,2017,Ireland,hg/ha,Apples,Yield,307468.0,190.0
131,2017,Ireland,hg/ha,Apples,Yield,307468.0,6029.0
132,2017,Ireland,hg/ha,Apples,Yield,307468.0,46510.0
133,2017,Ireland,hg/ha,Apples,Yield,307468.0,52971.0
134,2017,Ireland,hg/ha,Apples,Yield,307468.0,549.0
135,2017,Ireland,hg/ha,Apples,Yield,307468.0,1329.0
136,2017,Ireland,hg/ha,Apples,Yield,307468.0,8161.0
137,2017,Ireland,hg/ha,Apples,Yield,307468.0,19114.0
138,2017,Ireland,hg/ha,Apples,Yield,307468.0,29152.0
139,2017,Ireland,hg/ha,Apples,Yield,307468.0,2415.0
140,2017,Ireland,hg/ha,Apples,Yield,307468.0,2657.0
141,2017,Ireland,hg/ha,Apples,Yield,307468.0,1822.0
142,2017,Ireland,hg/ha,Apples,Yield,307468.0,2302.0
143,2017,Ireland,hg/ha,Apples,Yield,307468.0,9196.0
144,2017,Ireland,hg/ha,Apples,Yield,307468.0,3658.0
145,2017,Ireland,hg/ha,Apples,Yield,307468.0,579.0
146,2017,Ireland,hg/ha,Apples,Yield,307468.0,5166.0
147,2017,Ireland,hg/ha,Apples,Yield,307468.0,278.0
148,2017,Ireland,hg/ha,Apples,Yield,307468.0,9681.0
149,2017,Ireland,hg/ha,Apples,Yield,307468.0,7478.0
150,2017,Ireland,hg/ha,Apples,Yield,307468.0,5300.0
151,2017,Ireland,hg/ha,Apples,Yield,307468.0,23162.0
152,2017,Ireland,hg/ha,Apples,Yield,307468.0,82983.0
153,2017,Ireland,hg/ha,Apples,Yield,307468.0,2837.0
154,2017,Ireland,hg/ha,Apples,Yield,307468.0,121759.0
155,2017,Ireland,hg/ha,Apples,Yield,307468.0,335.0
156,2017,Ireland,hg/ha,Apples,Yield,307468.0,178.0
157,2017,Ireland,hg/ha,Apples,Yield,307468.0,109.0
158,2017,Ireland,hg/ha,Apples,Yield,307468.0,45.0
159,2017,Ireland,hg/ha,Apples,Yield,307468.0,667.0
160,2017,Ireland,hg/ha,Apples,Yield,307468.0,65.0
161,2017,Ireland,hg/ha,Apples,Yield,307468.0,54.0
162,2017,Ireland,hg/ha,Apples,Yield,307468.0,47.0
163,2017,Ireland,hg/ha,Apples,Yield,307468.0,34.0
164,2017,Ireland,hg/ha,Apples,Yield,307468.0,200.0
165,2017,Ireland,hg/ha,Apples,Yield,307468.0,1005.0
166,2017,Ireland,hg/ha,Apples,Yield,307468.0,720.0
167,2017,Ireland,hg/ha,Apples,Yield,307468.0,313.0
168,2017,Ireland,hg/ha,Apples,Yield,307468.0,90.0
169,2017,Ireland,hg/ha,Apples,Yield,307468.0,2128.0
170,2017,Ireland,hg/ha,Apples,Yield,307468.0,2521.0
171,2017,Ireland,hg/ha,Apples,Yield,307468.0,1024.0
172,2017,Ireland,hg/ha,Apples,Yield,307468.0,207.0
173,2017,Ireland,hg/ha,Apples,Yield,307468.0,48.0
174,2017,Ireland,hg/ha,Apples,Yield,307468.0,3800.0
175,2017,Ireland,hg/ha,Apples,Yield,307468.0,1176.0
176,2017,Ireland,hg/ha,Apples,Yield,307468.0,406.0
177,2017,Ireland,hg/ha,Apples,Yield,307468.0,157.0
178,2017,Ireland,hg/ha,Apples,Yield,307468.0,74.0
179,2017,Ireland,hg/ha,Apples,Yield,307468.0,1813.0
180,2017,Ireland,hg/ha,Apples,Yield,307468.0,5102.0
181,2017,Ireland,hg/ha,Apples,Yield,307468.0,2382.0
182,2017,Ireland,hg/ha,Apples,Yield,307468.0,833.0
183,2017,Ireland,hg/ha,Apples,Yield,307468.0,291.0
184,2017,Ireland,hg/ha,Apples,Yield,307468.0,25.0
185,2017,Ireland,hg/ha,Apples,Yield,307468.0,8633.0
186,2017,Ireland,hg/ha,Apples,Yield,307468.0,240.0
187,2017,Ireland,hg/ha,Apples,Yield,307468.0,434.0
188,2017,Ireland,hg/ha,Apples,Yield,307468.0,883.0
189,2017,Ireland,hg/ha,Apples,Yield,307468.0,2153.0
190,2017,Ireland,hg/ha,Apples,Yield,307468.0,3709.0
191,2017,Ireland,hg/ha,Apples,Yield,307468.0,297.0
192,2017,Ireland,hg/ha,Apples,Yield,307468.0,336.0
193,2017,Ireland,hg/ha,Apples,Yield,307468.0,866.0
194,2017,Ireland,hg/ha,Apples,Yield,307468.0,9539.0
195,2017,Ireland,hg/ha,Apples,Yield,307468.0,11038.0
196,2017,Ireland,hg/ha,Apples,Yield,307468.0,971.0
197,2017,Ireland,hg/ha,Apples,Yield,307468.0,1340.0
198,2017,Ireland,hg/ha,Apples,Yield,307468.0,4412.0
199,2017,Ireland,hg/ha,Apples,Yield,307468.0,6283.0
200,2017,Ireland,hg/ha,Apples,Yield,307468.0,13006.0
201,2017,Ireland,hg/ha,Apples,Yield,307468.0,5784.0
202,2017,Ireland,hg/ha,Apples,Yield,307468.0,8496.0
203,2017,Ireland,hg/ha,Apples,Yield,307468.0,6224.0
204,2017,Ireland,hg/ha,Apples,Yield,307468.0,6359.0
205,2017,Ireland,hg/ha,Apples,Yield,307468.0,26862.0
206,2017,Ireland,hg/ha,Apples,Yield,307468.0,9642.0
207,2017,Ireland,hg/ha,Apples,Yield,307468.0,2982.0
208,2017,Ireland,hg/ha,Apples,Yield,307468.0,10744.0
209,2017,Ireland,hg/ha,Apples,Yield,307468.0,2728.0
210,2017,Ireland,hg/ha,Apples,Yield,307468.0,26095.0
211,2017,Ireland,hg/ha,Apples,Yield,307468.0,16933.0
212,2017,Ireland,hg/ha,Apples,Yield,307468.0,13588.0
213,2017,Ireland,hg/ha,Apples,Yield,307468.0,23128.0
214,2017,Ireland,hg/ha,Apples,Yield,307468.0,27061.0
215,2017,Ireland,hg/ha,Apples,Yield,307468.0,1885.0
216,2017,Ireland,hg/ha,Apples,Yield,307468.0,82595.0
217,2017,Ireland,hg/ha,Apples,Yield,307468.0,1194.0
218,2017,Ireland,hg/ha,Apples,Yield,307468.0,305.0
219,2017,Ireland,hg/ha,Apples,Yield,307468.0,139.0
220,2017,Ireland,hg/ha,Apples,Yield,307468.0,43.0
221,2017,Ireland,hg/ha,Apples,Yield,307468.0,1681.0
222,2017,Ireland,hg/ha,Apples,Yield,307468.0,95.0
223,2017,Ireland,hg/ha,Apples,Yield,307468.0,58.0
224,2017,Ireland,hg/ha,Apples,Yield,307468.0,48.0
225,2017,Ireland,hg/ha,Apples,Yield,307468.0,35.0
226,2017,Ireland,hg/ha,Apples,Yield,307468.0,236.0
227,2017,Ireland,hg/ha,Apples,Yield,307468.0,4687.0
228,2017,Ireland,hg/ha,Apples,Yield,307468.0,1711.0
229,2017,Ireland,hg/ha,Apples,Yield,307468.0,458.0
230,2017,Ireland,hg/ha,Apples,Yield,307468.0,96.0
231,2017,Ireland,hg/ha,Apples,Yield,307468.0,6952.0
232,2017,Ireland,hg/ha,Apples,Yield,307468.0,11278.0
233,2017,Ireland,hg/ha,Apples,Yield,307468.0,3124.0
234,2017,Ireland,hg/ha,Apples,Yield,307468.0,516.0
235,2017,Ireland,hg/ha,Apples,Yield,307468.0,86.0
236,2017,Ireland,hg/ha,Apples,Yield,307468.0,15004.0
237,2017,Ireland,hg/ha,Apples,Yield,307468.0,4846.0
238,2017,Ireland,hg/ha,Apples,Yield,307468.0,1830.0
239,2017,Ireland,hg/ha,Apples,Yield,307468.0,665.0
240,2017,Ireland,hg/ha,Apples,Yield,307468.0,278.0
241,2017,Ireland,hg/ha,Apples,Yield,307468.0,7619.0
242,2017,Ireland,hg/ha,Apples,Yield,307468.0,22100.0
243,2017,Ireland,hg/ha,Apples,Yield,307468.0,7028.0
244,2017,Ireland,hg/ha,Apples,Yield,307468.0,1826.0
245,2017,Ireland,hg/ha,Apples,Yield,307468.0,538.0
246,2017,Ireland,hg/ha,Apples,Yield,307468.0,72.0
247,2017,Ireland,hg/ha,Apples,Yield,307468.0,31564.0
248,2017,Ireland,tonnes,Apples,Production,21369.0,615.0
249,2017,Ireland,tonnes,Apples,Production,21369.0,545.0
250,2017,Ireland,tonnes,Apples,Production,21369.0,1985.0
251,2017,Ireland,tonnes,Apples,Production,21369.0,14778.0
252,2017,Ireland,tonnes,Apples,Production,21369.0,17923.0
253,2017,Ireland,tonnes,Apples,Production,21369.0,241.0
254,2017,Ireland,tonnes,Apples,Production,21369.0,190.0
255,2017,Ireland,tonnes,Apples,Production,21369.0,6029.0
256,2017,Ireland,tonnes,Apples,Production,21369.0,46510.0
257,2017,Ireland,tonnes,Apples,Production,21369.0,52971.0
258,2017,Ireland,tonnes,Apples,Production,21369.0,549.0
259,2017,Ireland,tonnes,Apples,Production,21369.0,1329.0
260,2017,Ireland,tonnes,Apples,Production,21369.0,8161.0
261,2017,Ireland,tonnes,Apples,Production,21369.0,19114.0
262,2017,Ireland,tonnes,Apples,Production,21369.0,29152.0
263,2017,Ireland,tonnes,Apples,Production,21369.0,2415.0
264,2017,Ireland,tonnes,Apples,Production,21369.0,2657.0
265,2017,Ireland,tonnes,Apples,Production,21369.0,1822.0
266,2017,Ireland,tonnes,Apples,Production,21369.0,2302.0
267,2017,Ireland,tonnes,Apples,Production,21369.0,9196.0
268,2017,Ireland,tonnes,Apples,Production,21369.0,3658.0
269,2017,Ireland,tonnes,Apples,Production,21369.0,579.0
270,2017,Ireland,tonnes,Apples,Production,21369.0,5166.0
271,2017,Ireland,tonnes,Apples,Production,21369.0,278.0
272,2017,Ireland,tonnes,Apples,Production,21369.0,9681.0
273,2017,Ireland,tonnes,Apples,Production,21369.0,7478.0
274,2017,Ireland,tonnes,Apples,Production,21369.0,5300.0
275,2017,Ireland,tonnes,Apples,Production,21369.0,23162.0
276,2017,Ireland,tonnes,Apples,Production,21369.0,82983.0
277,2017,Ireland,tonnes,Apples,Production,21369.0,2837.0
278,2017,Ireland,tonnes,Apples,Production,21369.0,121759.0
279,2017,Ireland,tonnes,Apples,Production,21369.0,335.0
280,2017,Ireland,tonnes,Apples,Production,21369.0,178.0
281,2017,Ireland,tonnes,Apples,Production,21369.0,109.0
282,2017,Ireland,tonnes,Apples,Production,21369.0,45.0
283,2017,Ireland,tonnes,Apples,Production,21369.0,667.0
284,2017,Ireland,tonnes,Apples,Production,21369.0,65.0
285,2017,Ireland,tonnes,Apples,Production,21369.0,54.0
286,2017,Ireland,tonnes,Apples,Production,21369.0,47.0
287,2017,Ireland,tonnes,Apples,Production,21369.0,34.0
288,2017,Ireland,tonnes,Apples,Production,21369.0,200.0
289,2017,Ireland,tonnes,Apples,Production,21369.0,1005.0
290,2017,Ireland,tonnes,Apples,Production,21369.0,720.0
291,2017,Ireland,tonnes,Apples,Production,21369.0,313.0
292,2017,Ireland,tonnes,Apples,Production,21369.0,90.0
293,2017,Ireland,tonnes,Apples,Production,21369.0,2128.0
294,2017,Ireland,tonnes,Apples,Production,21369.0,2521.0
295,2017,Ireland,tonnes,Apples,Production,21369.0,1024.0
296,2017,Ireland,tonnes,Apples,Production,21369.0,207.0
297,2017,Ireland,tonnes,Apples,Production,21369.0,48.0
298,2017,Ireland,tonnes,Apples,Production,21369.0,3800.0
299,2017,Ireland,tonnes,Apples,Production,21369.0,1176.0
300,2017,Ireland,tonnes,Apples,Production,21369.0,406.0
301,2017,Ireland,tonnes,Apples,Production,21369.0,157.0
302,2017,Ireland,tonnes,Apples,Production,21369.0,74.0
303,2017,Ireland,tonnes,Apples,Production,21369.0,1813.0
304,2017,Ireland,tonnes,Apples,Production,21369.0,5102.0
305,2017,Ireland,tonnes,Apples,Production,21369.0,2382.0
306,2017,Ireland,tonnes,Apples,Production,21369.0,833.0
307,2017,Ireland,tonnes,Apples,Production,21369.0,291.0
308,2017,Ireland,tonnes,Apples,Production,21369.0,25.0
309,2017,Ireland,tonnes,Apples,Production,21369.0,8633.0
310,2017,Ireland,tonnes,Apples,Production,21369.0,240.0
311,2017,Ireland,tonnes,Apples,Production,21369.0,434.0
312,2017,Ireland,tonnes,Apples,Production,21369.0,883.0
313,2017,Ireland,tonnes,Apples,Production,21369.0,2153.0
314,2017,Ireland,tonnes,Apples,Production,21369.0,3709.0
315,2017,Ireland,tonnes,Apples,Production,21369.0,297.0
316,2017,Ireland,tonnes,Apples,Production,21369.0,336.0
317,2017,Ireland,tonnes,Apples,Production,21369.0,866.0
318,2017,Ireland,tonnes,Apples,Production,21369.0,9539.0
319,2017,Ireland,tonnes,Apples,Production,21369.0,11038.0
320,2017,Ireland,tonnes,Apples,Production,21369.0,971.0
321,2017,Ireland,tonnes,Apples,Production,21369.0,1340.0
322,2017,Ireland,tonnes,Apples,Production,21369.0,4412.0
323,2017,Ireland,tonnes,Apples,Production,21369.0,6283.0
324,2017,Ireland,tonnes,Apples,Production,21369.0,13006.0
325,2017,Ireland,tonnes,Apples,Production,21369.0,5784.0
326,2017,Ireland,tonnes,Apples,Production,21369.0,8496.0
327,2017,Ireland,tonnes,Apples,Production,21369.0,6224.0
328,2017,Ireland,tonnes,Apples,Production,21369.0,6359.0
329,2017,Ireland,tonnes,Apples,Production,21369.0,26862.0
330,2017,Ireland,tonnes,Apples,Production,21369.0,9642.0
331,2017,Ireland,tonnes,Apples,Production,21369.0,2982.0
332,2017,Ireland,tonnes,Apples,Production,21369.0,10744.0
333,2017,Ireland,tonnes,Apples,Production,21369.0,2728.0
334,2017,Ireland,tonnes,Apples,Production,21369.0,26095.0
335,2017,Ireland,tonnes,Apples,Production,21369.0,16933.0
336,2017,Ireland,tonnes,Apples,Production,21369.0,13588.0
337,2017,Ireland,tonnes,Apples,Production,21369.0,23128.0
338,2017,Ireland,tonnes,Apples,Production,21369.0,27061.0
339,2017,Ireland,tonnes,Apples,Production,21369.0,1885.0
340,2017,Ireland,tonnes,Apples,Production,21369.0,82595.0
341,2017,Ireland,tonnes,Apples,Production,21369.0,1194.0
342,2017,Ireland,tonnes,Apples,Production,21369.0,305.0
343,2017,Ireland,tonnes,Apples,Production,21369.0,139.0
344,2017,Ireland,tonnes,Apples,Production,21369.0,43.0
345,2017,Ireland,tonnes,Apples,Production,21369.0,1681.0
346,2017,Ireland,tonnes,Apples,Production,21369.0,95.0
347,2017,Ireland,tonnes,Apples,Production,21369.0,58.0
348,2017,Ireland,tonnes,Apples,Production,21369.0,48.0
349,2017,Ireland,tonnes,Apples,Production,21369.0,35.0
350,2017,Ireland,tonnes,Apples,Production,21369.0,236.0
351,2017,Ireland,tonnes,Apples,Production,21369.0,4687.0
352,2017,Ireland,tonnes,Apples,Production,21369.0,1711.0
353,2017,Ireland,tonnes,Apples,Production,21369.0,458.0
354,2017,Ireland,tonnes,Apples,Production,21369.0,96.0
355,2017,Ireland,tonnes,Apples,Production,21369.0,6952.0
356,2017,Ireland,tonnes,Apples,Production,21369.0,11278.0
357,2017,Ireland,tonnes,Apples,Production,21369.0,3124.0
358,2017,Ireland,tonnes,Apples,Production,21369.0,516.0
359,2017,Ireland,tonnes,Apples,Production,21369.0,86.0
360,2017,Ireland,tonnes,Apples,Production,21369.0,15004.0
361,2017,Ireland,tonnes,Apples,Production,21369.0,4846.0
362,2017,Ireland,tonnes,Apples,Production,21369.0,1830.0
363,2017,Ireland,tonnes,Apples,Production,21369.0,665.0
364,2017,Ireland,tonnes,Apples,Production,21369.0,278.0
365,2017,Ireland,tonnes,Apples,Production,21369.0,7619.0
366,2017,Ireland,tonnes,Apples,Production,21369.0,22100.0
367,2017,Ireland,tonnes,Apples,Production,21369.0,7028.0
368,2017,Ireland,tonnes,Apples,Production,21369.0,1826.0
369,2017,Ireland,tonnes,Apples,Production,21369.0,538.0
370,2017,Ireland,tonnes,Apples,Production,21369.0,72.0
371,2017,Ireland,tonnes,Apples,Production,21369.0,31564.0
372,2017,Ireland,ha,Barley,Area harvested,180186.0,615.0
373,2017,Ireland,ha,Barley,Area harvested,180186.0,545.0
374,2017,Ireland,ha,Barley,Area harvested,180186.0,1985.0
375,2017,Ireland,ha,Barley,Area harvested,180186.0,14778.0
376,2017,Ireland,ha,Barley,Area harvested,180186.0,17923.0
377,2017,Ireland,ha,Barley,Area harvested,180186.0,241.0
378,2017,Ireland,ha,Barley,Area harvested,180186.0,190.0
379,2017,Ireland,ha,Barley,Area harvested,180186.0,6029.0
380,2017,Ireland,ha,Barley,Area harvested,180186.0,46510.0
381,2017,Ireland,ha,Barley,Area harvested,180186.0,52971.0
382,2017,Ireland,ha,Barley,Area harvested,180186.0,549.0
383,2017,Ireland,ha,Barley,Area harvested,180186.0,1329.0
384,2017,Ireland,ha,Barley,Area harvested,180186.0,8161.0
385,2017,Ireland,ha,Barley,Area harvested,180186.0,19114.0
386,2017,Ireland,ha,Barley,Area harvested,180186.0,29152.0
387,2017,Ireland,ha,Barley,Area harvested,180186.0,2415.0
388,2017,Ireland,ha,Barley,Area harvested,180186.0,2657.0
389,2017,Ireland,ha,Barley,Area harvested,180186.0,1822.0
390,2017,Ireland,ha,Barley,Area harvested,180186.0,2302.0
391,2017,Ireland,ha,Barley,Area harvested,180186.0,9196.0
392,2017,Ireland,ha,Barley,Area harvested,180186.0,3658.0
393,2017,Ireland,ha,Barley,Area harvested,180186.0,579.0
394,2017,Ireland,ha,Barley,Area harvested,180186.0,5166.0
395,2017,Ireland,ha,Barley,Area harvested,180186.0,278.0
396,2017,Ireland,ha,Barley,Area harvested,180186.0,9681.0
397,2017,Ireland,ha,Barley,Area harvested,180186.0,7478.0
398,2017,Ireland,ha,Barley,Area harvested,180186.0,5300.0
399,2017,Ireland,ha,Barley,Area harvested,180186.0,23162.0
400,2017,Ireland,ha,Barley,Area harvested,180186.0,82983.0
401,2017,Ireland,ha,Barley,Area harvested,180186.0,2837.0
402,2017,Ireland,ha,Barley,Area harvested,180186.0,121759.0
403,2017,Ireland,ha,Barley,Area harvested,180186.0,335.0
404,2017,Ireland,ha,Barley,Area harvested,180186.0,178.0
405,2017,Ireland,ha,Barley,Area harvested,180186.0,109.0
406,2017,Ireland,ha,Barley,Area harvested,180186.0,45.0
407,2017,Ireland,ha,Barley,Area harvested,180186.0,667.0
408,2017,Ireland,ha,Barley,Area harvested,180186.0,65.0
409,2017,Ireland,ha,Barley,Area harvested,180186.0,54.0
410,2017,Ireland,ha,Barley,Area harvested,180186.0,47.0
411,2017,Ireland,ha,Barley,Area harvested,180186.0,34.0
412,2017,Ireland,ha,Barley,Area harvested,180186.0,200.0
413,2017,Ireland,ha,Barley,Area harvested,180186.0,1005.0
414,2017,Ireland,ha,Barley,Area harvested,180186.0,720.0
415,2017,Ireland,ha,Barley,Area harvested,180186.0,313.0
416,2017,Ireland,ha,Barley,Area harvested,180186.0,90.0
417,2017,Ireland,ha,Barley,Area harvested,180186.0,2128.0
418,2017,Ireland,ha,Barley,Area harvested,180186.0,2521.0
419,2017,Ireland,ha,Barley,Area harvested,180186.0,1024.0
420,2017,Ireland,ha,Barley,Area harvested,180186.0,207.0
421,2017,Ireland,ha,Barley,Area harvested,180186.0,48.0
422,2017,Ireland,ha,Barley,Area harvested,180186.0,3800.0
423,2017,Ireland,ha,Barley,Area harvested,180186.0,1176.0
424,2017,Ireland,ha,Barley,Area harvested,180186.0,406.0
425,2017,Ireland,ha,Barley,Area harvested,180186.0,157.0
426,2017,Ireland,ha,Barley,Area harvested,180186.0,74.0
427,2017,Ireland,ha,Barley,Area harvested,180186.0,1813.0
428,2017,Ireland,ha,Barley,Area harvested,180186.0,5102.0
429,2017,Ireland,ha,Barley,Area harvested,180186.0,2382.0
430,2017,Ireland,ha,Barley,Area harvested,180186.0,833.0
